operation,metric,postgresql,mongodb
fetch_filtered,throughput_ops_sec,2000.00,2222.22
fetch_filtered,p50_ms,4.00,4.00
fetch_filtered,p95_ms,7.00,6.00
fetch_filtered,p99_ms,8.00,7.00
fetch_filtered,avg_ms,4.77,4.32
fetch_filtered,min_ms,3,1
fetch_filtered,max_ms,8,8
count,throughput_ops_sec,3448.28,2500.00
count,p50_ms,3.00,3.00
count,p95_ms,4.00,7.00
count,p99_ms,5.00,9.00
count,avg_ms,2.73,3.78
count,min_ms,1,1
count,max_ms,6,10
insert,throughput_ops_sec,414.94,287.97
insert,p50_ms,14.00,12.00
insert,p95_ms,27.00,16.00
insert,p99_ms,31.00,112.00
insert,avg_ms,15.55,13.32
insert,min_ms,5,6
insert,max_ms,31,112
update,throughput_ops_sec,0.00,111.11
update,p50_ms,0.00,4.00
update,p95_ms,0.00,6.00
update,p99_ms,0.00,6.00
update,avg_ms,0.00,4.56
update,min_ms,0,3
update,max_ms,0,6
batch_insert,throughput_ops_sec,10.53,20.41
batch_insert,p50_ms,68.00,31.00
batch_insert,p95_ms,68.00,31.00
batch_insert,p99_ms,68.00,31.00
batch_insert,avg_ms,68.00,31.00
batch_insert,min_ms,68,31
batch_insert,max_ms,68,31
fetch_order,throughput_ops_sec,0.00,191.49
fetch_order,p50_ms,0.00,1.00
fetch_order,p95_ms,0.00,2.00
fetch_order,p99_ms,0.00,2.00
fetch_order,avg_ms,0.00,1.44
fetch_order,min_ms,0,1
fetch_order,max_ms,0,2
delete,throughput_ops_sec,0.00,163.64
delete,p50_ms,0.00,3.00
delete,p95_ms,0.00,4.00
delete,p99_ms,0.00,4.00
delete,avg_ms,0.00,3.33
delete,min_ms,0,3
delete,max_ms,0,4
batch_fetch,throughput_ops_sec,0.00,0.00
batch_fetch,p50_ms,0.00,0.00
batch_fetch,p95_ms,0.00,0.00
batch_fetch,p99_ms,0.00,0.00
batch_fetch,avg_ms,0.00,0.00
batch_fetch,min_ms,0,0
batch_fetch,max_ms,0,0
append,throughput_ops_sec,1923.08,636.94
append,p50_ms,5.00,14.00
append,p95_ms,7.00,30.00
append,p99_ms,8.00,30.00
append,avg_ms,5.00,15.35
append,min_ms,3,8
append,max_ms,9,30
aggregate,throughput_ops_sec,3571.43,5263.16
aggregate,p50_ms,3.00,2.00
aggregate,p95_ms,3.00,3.00
aggregate,p99_ms,4.00,3.00
aggregate,avg_ms,2.61,1.77
aggregate,min_ms,2,1
aggregate,max_ms,4,3
